district,distname,campus,campname,type,alt_ed,charter,county,total,mobility,low_inc,lep,sped,rating,yrs_ir
'057848,INTERNATIONAL LEADERSHIP OF TEXAS,'057848009,INTERNATIONAL LEADERSHIP OF TX-KEL,S,N,Y,DALLAS,433,17.3,29.8,9,6,Met Standard,
'057848,INTERNATIONAL LEADERSHIP OF TEXAS,'057848010,INTERNATIONAL LEADERSHIP OF TEXAS,E,N,Y,DALLAS,942,23,69.7,38.7,2.3,Met Standard,
'057848,INTERNATIONAL LEADERSHIP OF TEXAS,'057848011,INT'L LEADERSHIP OF TEXAS MIDDLE -,M,N,Y,DALLAS,464,19.7,65.5,29.7,3.2,Met Standard,
'057848,INTERNATIONAL LEADERSHIP OF TEXAS,'057848012,INT'L LEADERSHIP OF TEXAS ES- N RI,E,N,Y,DALLAS,954,21.6,57.8,23.7,4.9,Met Standard,
'057848,INTERNATIONAL LEADERSHIP OF TEXAS,'057848013,INT'L LEADERSHIP OF TEXAS MS-N RIC,M,N,Y,DALLAS,397,25.2,58.7,23.2,5.5,Met Standard,
'057848,INTERNATIONAL LEADERSHIP OF TEXAS,'057848014,INTERNATIONAL LEADERSHIP OF TEXAS,E,N,Y,DALLAS,915,34.4,50.2,29,4.8,Met Standard,
'057848,INTERNATIONAL LEADERSHIP OF TEXAS,'057848015,INTERNATIONAL LEADERSHIP OF TEXAS,M,N,Y,DALLAS,399,28.9,55.4,19.8,6,Met Standard,
'057848,INTERNATIONAL LEADERSHIP OF TEXAS,'057848016,INTERNATIONAL LEADERSHIP OF TEXAS,E,N,Y,DALLAS,922,32.6,70.2,38.3,4.3,Not Rated: Harvey Provision,
'057848,INTERNATIONAL LEADERSHIP OF TEXAS,'057848017,INTERNATIONAL LEADERSHIP OF TEXAS,M,N,Y,DALLAS,420,24.3,70.5,35.2,3.8,Met Standard,
'057848,INTERNATIONAL LEADERSHIP OF TEXAS,'057848018,ILTEXAS - KATY/WESTPARK H S,S,N,Y,DALLAS,221,,63.3,10.4,4.1,Met Standard,
'057848,INTERNATIONAL LEADERSHIP OF TEXAS,'057848019,ILTEXAS - LANCASTER EL,E,N,Y,DALLAS,885,,81,17.3,2.8,Improvement Required,1
'057848,INTERNATIONAL LEADERSHIP OF TEXAS,'057848020,ILTEXAS - LANCASTER MIDDLE,M,N,Y,DALLAS,376,,80.3,15.2,7.2,Met Standard,
'057848,INTERNATIONAL LEADERSHIP OF TEXAS,'057848021,ILTEXAS - EAST FORT WORTH EL,E,N,Y,DALLAS,859,,82.8,21.3,4.9,Improvement Required,1
'057848,INTERNATIONAL LEADERSHIP OF TEXAS,'057848022,ILTEXAS - EAST FORT WORTH MIDDLE,M,N,Y,DALLAS,307,,80.8,17.9,8.8,Improvement Required,1
'057848,INTERNATIONAL LEADERSHIP OF TEXAS,'057848023,ILTEXAS - SAGINAW EL,E,N,Y,DALLAS,931,,49.1,18.6,4.4,Met Standard,
'057848,INTERNATIONAL LEADERSHIP OF TEXAS,'057848024,ILTEXAS - SAGINAW MIDDLE,M,N,Y,DALLAS,320,,55.6,16.6,6.3,Met Standard,
'057848,INTERNATIONAL LEADERSHIP OF TEXAS,'057848025,ILTEXAS - HOUSTON WINDMILL LAKE EL,E,N,Y,DALLAS,895,,81.7,46.7,5.8,Not Rated: Harvey Provision,
'057848,INTERNATIONAL LEADERSHIP OF TEXAS,'057848026,ILTEXAS - HOUSTON WINDMILL LAKES M,M,N,Y,DALLAS,321,,84.1,36.8,6.5,Met Standard,
'057849,TRINITY ENVIRONMENTAL ACADEMY,'057849001,TRINITY ENVIRONMENTAL ACADEMY,E,N,Y,DALLAS,169,28.7,92.9,7.7,6.5,Improvement Required,3
'057849,TRINITY ENVIRONMENTAL ACADEMY,'057849002,TRINITY ENVIRONMENTAL ACADEMY,M,Y,Y,DALLAS,149,,90.6,6.7,8.7,Met Alternative Standard,
'057850,PIONEER TECHNOLOGY & ARTS ACADEMY,'057850001,PIONEER TECHNOLOGY (PTAA) MESQUITE,M,N,Y,DALLAS,206,54.1,65.5,26.7,6.8,Met Standard,
'057850,PIONEER TECHNOLOGY & ARTS ACADEMY,'057850002,PIONEER TECHNOLOGY (PTAA) GREENVIL,M,N,Y,DALLAS,83,47.8,49.4,4.8,6,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903001,TURNER H S,S,N,N,DALLAS,2048,11,69.9,18.5,7.9,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903002,SMITH H S,S,N,N,DALLAS,1955,17.6,65.1,18.3,9.8,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903003,GRIMES EDUCATION CENTER,S,Y,N,DALLAS,63,66.7,38.1,20.6,1.6,Met Alternative Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903005,SALAZAR DISTRICT ALTERNATIVE EDUCA,B,N,N,DALLAS,74,100,78.4,33.8,12.2,Not Rated,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903006,CREEKVIEW H S,S,N,N,DALLAS,1925,10.3,50.4,11.4,9.6,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903007,RANCHVIEW H S,S,N,N,DALLAS,878,16.6,46.6,8.3,12.6,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903008,DENTON COUNTY JJAEP CFB CAMPUS,S,N,N,DALLAS,2,,50,0,0,Not Rated,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903009,DALLAS COUNTY JJAEP CFB CAMPUS,S,N,N,DALLAS,3,100,33.3,0,33.3,Not Rated,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903010,EARLY COLLEGE H S,S,N,N,DALLAS,330,3.8,80.3,5.5,0.3,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903041,FIELD MIDDLE,M,N,N,DALLAS,1006,10.9,80.6,39.4,10.7,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903042,PERRY MIDDLE,M,N,N,DALLAS,1030,7,78.3,45.7,10.5,Met Standard,
